eeacellcode	T	Sobs	Q1	Q2	U	C1_hat	C1_lo	C1_hi	C1_width	C0_hat	C0_lo	C0_hi	C0_width	reliable_complete
5kmE3960N3090	7173	2401	852	305	56956	0.9850425775070941	0.9912280041438731	0.9935706543263099	0.002342650182436734	0.668645654218428	0.8238601899757261	0.9064170368661592	0.08255684689043308	True
5kmE3950N3090	6304	2496	894	290	34984	0.9744480908473169	0.985195396225608	0.9892570729099562	0.004061676684348203	0.6443328055138554	0.8097838982459404	0.9069585583261894	0.097174660080249	True
5kmE3965N3090	7147	1751	556	217	61183	0.9909135009176411	0.9942164460836537	0.9959659610135033	0.0017495149298496493	0.7108652826599919	0.8234198394502541	0.9226027325957109	0.09918289314545681	True
5kmE3945N3090	8660	3103	1112	398	89194	0.9875338242468711	0.9924072752692376	0.9947635197860709	0.0023562445168333612	0.666413552035194	0.805690315879965	0.9144669132326022	0.10877659735263723	True
5kmE3920N3085	6207	3478	1312	462	35934	0.9634927609305546	0.9784465976199375	0.9833921159729084	0.004945518352970968	0.6512344848153717	0.8299888210046295	0.8910204284950125	0.061031607490383055	True
5kmE3935N3085	5440	1699	679	224	23580	0.9712079032269584	0.982505459122916	0.9884878115794925	0.005982352456576523	0.6228188052199867	0.7767392504525475	0.9059266723364435	0.12918742188389598	True
5kmE3930N3090	7987	3037	1148	418	78080	0.9852984717424522	0.991040815360229	0.993735128906632	0.0026943135464029266	0.6583221654216256	0.7983926051269167	0.9053062190633013	0.10691361393638465	True
5kmE3925N3090	8776	4448	1645	625	98818	0.9833546766561551	0.9902283571212716	0.9924536253863133	0.0022252682650417688	0.6726579474285571	0.8192264683877835	0.8978913964775277	0.07866492808974423	True
5kmE3915N3090	6139	1992	758	255	36303	0.9791224714168849	0.9863521784382362	0.9923435425149574	0.005991364076721184	0.6387865489957066	0.7581863657991255	0.9359292014186771	0.17774283561955162	True
5kmE3935N3090	7321	2349	891	306	49753	0.9820932124437307	0.9886738388127904	0.9926697702669164	0.003995931454126023	0.6442652187393957	0.7883081231866094	0.9139977725551992	0.12568964936858984	True
5kmE3920N3090	8161	2744	994	412	59988	0.983431702509412	0.9901969514534609	0.9926298650956085	0.002432913642147594	0.6959298951353112	0.8274754366933068	0.8989086158015913	0.0714331791082845	True
5kmE3940N3090	8746	2705	875	353	86578	0.989894438822781	0.9937458175806979	0.9952824535578776	0.001536635977179679	0.7138463830502612	0.8368799761507313	0.9101725098068065	0.07329253365607524	True
5kmE3935N3095	6693	1762	703	248	38845	0.9819043405981898	0.9895259018016523	0.9923850570364776	0.0028591552348252725	0.6388131000349837	0.7970973765840103	0.9004453052622616	0.10334792867825138	True
5kmE3930N3095	7584	2335	912	343	57794	0.9842213803602824	0.9905136664743294	0.9932185192158554	0.002704852741525987	0.6582480564012976	0.7961885824922079	0.8961634552726574	0.09997487278044948	True
5kmE3995N3090	3042	2005	773	271	17367	0.9555005579409138	0.9732293918563799	0.9818301792028794	0.008600787346499494	0.6452984128862289	0.800719871079305	0.9086946812042148	0.10797481012490984	True
5kmE3990N3090	4039	1801	650	250	23029	0.9717800946672205	0.9821831576612438	0.9887595929695349	0.0065764353082911065	0.6807038587266802	0.8147322478001624	0.9072404564777866	0.09250820867762422	True
5kmE3970N3095	3218	1404	471	210	14835	0.9682595564705182	0.9775271400494454	0.9868264657114937	0.009299325662048274	0.7266972718160142	0.8080865167759452	0.9264912303017664	0.11840471352582116	True
